time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
532.6,16.913148404,155428.788746,721616.262029,312.552997628,316.506473924,4.8
533.6,16.929895778,155427.019998,721639.1650149999,312.541653674,316.49522238,4.8
534.6,16.951989483,155425.248092,721662.153922,312.530310007,316.48391175,4.8
535.6,16.969267517,155423.481597,721685.0244039999,312.518968687,316.472687426,4.8
536.6,17.007022517,155421.71266699999,721707.958536,312.507628999,316.461416861,4.8
537.6,17.023465901,155419.946679,721730.8333589999,312.496292709,316.450188848,4.8
538.6,17.041873786,155418.184114,721753.654551,312.484965095,316.43900581,4.8
539.6,17.072141825,155416.41335699998,721776.665495,312.473637817,316.427676772,4.8
540.6,17.089637348,155414.646357,721799.5988939999,312.46230677,316.416411022,4.8
541.6,17.106550303,155412.880162,721822.529308,312.450977869,316.405153649,4.8
542.6,17.124254708,155411.113219,721845.47866,312.439646327,316.39388217,4.8
543.6,17.142712703,155409.346921,721868.4236859999,312.428316607,316.382616566,4.8
544.6,17.178811303,155407.581412,721891.361694,312.416986027,316.37136223,4.8
545.6,17.196917367,155405.817606,721914.2836729999,312.405659185,316.360129786,4.8
546.6,17.227299235,155404.052306,721937.239077,312.394332604,316.348868198,4.8
547.6,17.249073081,155402.287876,721960.178949,312.383007868,316.337615523,4.8
548.6,17.269560076,155400.521063,721983.1813589999,312.371682721,316.326319472,4.8
549.6,17.287538351,155398.756867,722006.13358,312.360355626,316.31506624,4.8
550.6,17.304994635,155396.991901,722029.114033,312.349028844,316.303796906,4.8
551.6,17.330706242,155395.22827,722052.073841,312.337705347,316.29254362,4.8
552.6,17.347628107,155393.468306,722074.957342,312.326382112,316.281349017,4.8
553.6,17.366982762,155391.706892,722097.905053,312.315066977,316.270116659,4.8
554.6,17.402546922,155389.942107,722120.921106,312.303747683,316.258826184,4.8
555.6,17.420317707,155388.17962399998,722143.891942,312.292428297,316.247573592,4.8
556.6,17.436870711,155386.417121,722166.870285,312.281107673,316.236318309,4.8
557.6,17.453370066,155384.656421,722189.816967,312.269788967,316.225088131,4.8
558.6,17.472388941,155382.895485,722212.780167,312.258474023,316.213845316,4.8
559.6,17.488940355,155381.135089,722235.7407579999,312.247160545,316.202607171,4.8
560.6,17.505962709,155379.37331999998,722258.74231,312.235845126,316.191343638,4.8
561.6,17.523382703,155377.612578,722281.730901,312.224530632,316.180093866,4.8
562.6,17.566607744,155375.850839,722304.750975,312.213214115,316.168825461,4.8
563.6,17.584962919,155374.092565,722327.700283,312.201897157,316.157613573,4.8
564.6,17.602804983,155372.336969,722350.598425,312.190586042,316.14643777,4.8
565.6,17.618605747,155370.580868,722373.5350779999,312.179286235,316.135237797,4.8
566.6,17.635088161,155368.820989,722396.552565,312.167983622,316.123969152,4.8
567.6,17.650624856,155367.06704999998,722419.44241,312.156682613,316.112797793,4.8
568.6,17.66908012,155365.310703,722442.40483,312.145386658,316.101574343,4.8
569.6,17.690536526,155363.551825,722465.4285329999,312.134088615,316.090305558,4.8
570.6,17.70869788,155361.794128,722488.435664,312.122787562,316.079056749,4.8
571.6,17.725229415,155360.036399,722511.454864,312.111486194,316.067804768,4.8
572.6,17.74153841,155358.28119,722534.4267419999,312.100186724,316.056589941,4.8
573.6,17.758407823,155356.52567099998,722557.414561,312.088887142,316.045367539,4.8
574.6,17.776188048,155354.7671,722580.48231,312.077586024,316.034091592,4.8
575.6,17.794167993,155353.01129,722603.494493,312.06628427,316.02286002,4.8
576.6,17.810248358,155351.257617,722626.470801,312.054985064,316.011657295,4.8
577.6,17.828390244,155349.503275,722649.465768,312.043688219,316.000441519,4.8
578.6,17.846617408,155347.752092,722672.4042979999,312.032398457,315.989267059,4.8
579.6,17.863591682,155345.998314,722695.406062,312.021108627,315.978043107,4.8
580.6,17.89168694,155344.244999,722718.40662,312.009818548,315.966822953,4.8
581.6,17.909522395,155342.490025,722741.456329,311.998527541,315.955571776,4.8
582.6,17.927310919,155340.737355,722764.462953,311.987237308,315.944356188,4.8
583.6,17.944977923,155338.987002,722787.4270949999,311.975949954,315.933173196,4.8
584.6,17.965090389,155337.233944,722810.4728239999,311.964663447,315.921938575,4.8
585.6,17.983919844,155335.485064,722833.413523,311.953377324,315.910771409,4.8
586.6,18.026116675,155333.729682,722856.521275,311.94209175,315.899490859,4.8
587.6,18.043214169,155331.979993,722879.5066079999,311.930805785,315.888303375,4.8
588.6,18.064084485,155330.23058099998,722902.501756,311.919522507,315.877114268,4.8
589.6,18.08235217,155328.480879,722925.514214,311.908241501,315.865912935,4.8
590.6,18.098168674,155326.733224,722948.484979,311.896963279,315.854740783,4.8
591.6,18.125491621,155324.984844,722971.4904049999,311.885688705,315.84354894,4.8
592.6,18.150744469,155323.234418,722994.546599,311.87441337,315.832317611,4.8
593.6,18.172095324,155321.482539,723017.640917,311.863135755,315.821059575,4.8
594.6,18.189990838,155319.736837,723040.6041519999,311.851860253,315.809901443,4.8
595.6,18.233896919,155317.986425,723063.6858829999,311.8405862,315.798659077,4.8
596.6,18.253479684,155316.238461,723086.718627,311.829308618,315.787458309,4.8
597.6,18.270796668,155314.49351,723109.693035,311.818035456,315.77630136,4.8
598.6,18.291494474,155312.745482,723132.7471449999,311.806763735,315.765087731,4.8
599.6,18.314423601,155310.99657,723155.832233,311.79549244,315.7538531,4.8
600.6,18.35161853,155309.248926,723178.895516,311.784218262,315.74264099,4.8
601.6,18.367946234,155307.506086,723201.859251,311.772948319,315.73150294,4.8
602.6,18.386519238,155305.759831,723224.9113019999,311.761682348,315.720298817,4.8
603.6,18.403598363,155304.01451,723247.949786,311.750415078,315.709107486,4.8
604.6,18.419845857,155302.27082099998,723270.962353,311.739151739,315.697936489,4.8
605.6,18.477693473,155300.522511,723294.090632,311.727886275,315.686684291,4.8
606.6,18.501444529,155298.780345,723317.092619,311.716621872,315.675532717,4.8
607.6,18.520018974,155297.033054,723340.221824,311.705357004,315.664290977,4.8
608.6,18.540304939,155295.29175,723363.21632,311.694092634,315.653147491,4.8
609.6,18.58544899,155293.54545499998,723386.336613,311.682831164,315.64191323,4.8
610.6,18.603364184,155291.800876,723409.424346,311.671567408,315.630705426,4.8
611.6,18.639838325,155290.063336,723432.371816,311.660311492,315.619607807,4.8
612.6,18.658325649,155288.319969,723455.4532519999,311.649055776,315.608404095,4.8
613.6,18.676717615,155286.576933,723478.535606,311.637798631,315.597204475,4.8
614.6,18.695861501,155284.83755199998,723501.542305,311.626544783,315.586061342,4.8
615.6,18.712808125,155283.09560899998,723524.6182029999,311.615292883,315.574867313,4.8
616.6,18.732080951,155281.352518,723547.730874,311.604039371,315.563652129,4.8
617.6,18.788938525,155279.611778,723570.797573,311.592784055,315.552475976,4.8
618.6,18.811949181,155277.871757,723593.856805,311.58153099,315.541308752,4.8
619.6,18.832414986,155276.131455,723616.936796,311.570280416,315.53012629,4.8
620.6,18.850720381,155274.419092,723639.923659,311.559030476,315.519013304,4.8
621.6,18.868146405,155272.662095,723662.9221849999,311.547790141,315.507933864,4.8
622.6,18.88706386,155270.924134,723685.942356,311.536554527,315.49676504,4.8
623.6,18.973984484,155269.18031,723709.1376,311.525317471,315.485492306,4.8
624.6,18.991437858,155267.443452,723732.1870299999,311.514075877,315.474338589,4.8
625.6,19.022437106,155265.70423499998,723755.304093,311.502834803,315.463141627,4.8
626.6,19.040294312,155263.968064,723778.3566449999,311.491594608,315.451992345,4.8
627.6,19.059521537,155262.230177,723801.4583759999,311.480354808,315.440810582,4.8
628.6,19.077957912,155260.50003999998,723824.3979079999,311.469121512,315.429750537,4.8
629.6,19.148146581,155258.75867399998,723847.6004979999,311.457886809,315.41849632,4.8
630.6,19.210126247,155257.021629,723870.7102379999,311.446647116,315.407316436,4.8
631.6,19.229886982,155255.28698499998,723893.7764529999,311.435411216,315.396172032,4.8
632.6,19.248601897,155253.552177,723916.8548689999,311.424176843,315.385018601,4.8
633.6,19.282442337,155251.818415,723939.920192,311.412946549,315.373875607,4.8
634.6,19.300434562,155250.083322,723963.025586,311.401715652,315.362706416,4.8
635.6,19.317253947,155248.35323,723986.023512,311.390486057,315.351617983,4.8
636.6,19.359002308,155246.618043,724009.172053,311.379264411,315.340430459,4.8
637.6,19.408260272,155244.88198499999,724032.32996,311.368035239,315.329231396,4.8
638.6,19.437874281,155243.147461,724055.458563,311.356804174,315.31805741,4.8
639.6,19.456324095,155241.41294799998,724078.598103,311.345573161,315.306880936,4.8
640.6,19.472626699,155239.681296,724101.679269,311.334343182,315.295751018,4.8
641.6,19.490303634,155237.95041299998,724124.7511989999,311.323118762,315.284623679,4.8
642.6,19.507675199,155236.220279,724147.8154109999,311.3118964,315.273503002,4.8
643.6,19.524205243,155234.488571,724170.926433,311.300675514,315.262350333,4.8
644.6,19.541288118,155232.759218,724193.992503,311.289457078,315.251230535,4.8
645.6,19.561130533,155231.030989,724217.045952,311.278243709,315.240120047,4.8
646.6,19.578301108,155229.29837499998,724240.211124,311.267028807,315.228931836,4.8
647.6,19.596148383,155227.569025,724263.3097069999,311.25581402,315.217796258,4.8
648.6,19.615483877,155225.84371699998,724286.325219,311.244602009,315.206723351,4.8
649.6,19.633004102,155224.112032,724309.5086269999,311.233391663,315.195535877,4.8
650.6,19.651395635,155222.384448,724332.599327,311.222180293,315.184415214,4.8
651.6,19.66934411,155220.654281,724355.763548,311.210970396,315.173245114,4.8
652.6,19.686750264,155218.927172,724378.859651,311.199761133,315.162122348,4.8
653.6,19.703513828,155217.199606,724401.977817,311.188553744,315.150987401,4.8
654.6,19.720936003,155215.471007,724425.127704,311.177345319,315.139831839,4.8
655.6,19.737859207,155213.744959,724448.221714,311.166140114,315.12872287,4.8
656.6,19.758747583,155212.019215,724471.3426989999,311.15493569,315.117595325,4.8
657.6,19.776564597,155210.290521,724494.523722,311.143728871,315.106426366,4.8
658.6,19.796719522,155208.563999,724517.6634419999,311.132521654,315.095291873,4.8
659.6,19.813761596,155206.838861,724540.780894,311.12131691,315.084174704,4.8
660.6,19.858694518,155205.111078,724563.97009,311.110112413,315.07301041,4.8
661.6,19.877434103,155203.386616,724587.088518,311.098907684,315.061898901,4.8
662.6,19.912403263,155201.660214,724610.26276,311.087705015,315.050748665,4.8
663.6,19.930142938,155199.937682,724633.354602,311.076502171,315.03966137,4.8
664.6,19.948962533,155198.214032,724656.4843659999,311.065303832,315.028547493,4.8
665.6,19.968334888,155196.489585,724679.6400029999,311.054105132,315.01741689,4.8
666.6,19.984781223,155194.766407,724702.7756449999,311.042909791,315.006299113,4.8
667.6,20.001628497,155193.044661,724725.898068,311.031718169,314.995197722,4.8
668.6,20.021947782,155191.320286,724749.087388,311.020524911,314.984048966,4.8
669.6,20.039341497,155189.596747,724772.2624359999,311.009330312,314.972912831,4.8
670.6,20.073475396,155187.872663,724795.459618,310.998134723,314.96176634,4.8
671.6,20.09140666,155186.150176,724818.6264579999,310.986938674,314.95064407,4.8
672.6,20.12954369,155184.430995,724841.726758,310.975747818,314.939570772,4.8
673.6,20.153915986,155182.710778,724864.8595929999,310.964558525,314.928473274,4.8
674.6,20.171460351,155180.99234599998,724887.960168,310.953372026,314.917399664,4.8
675.6,20.188112305,155179.271539,724911.1285839999,310.942188674,314.906277128,4.8
676.6,20.20660574,155177.54920799998,724934.343585,310.931004861,314.895124795,4.8
