,time,AdaptionUnit.Aircraft_State,AdaptionUnit.LHexTout,AdaptionUnit.CPUtime,AdaptionUnit.EventCounter,AdaptionUnit.sWsignals.Aircraft_State,AdaptionUnit.sWsignals.TLiquid,Atmos.Alt,Atmos.Ma,Atmos.CPUtime,Atmos.EventCounter,Atmos.Pamb,Atmos.Tamb,Consumer.Alt,Consumer.Mach,Consumer.Pamb,Consumer.Tamb,Consumer.consumerFeed.hn,Consumer.consumerFeed.m,Consumer.consumerRet.hn,Consumer.consumerRet.m,Consumer.heatLoad,Consumer.CPUtime,Consumer.EventCounter,Consumer.consumerFeed.h,Consumer.consumerFeed.p,Consumer.consumerRet.h,Consumer.consumerRet.p,Consumer.inletTemp,Consumer.outletTemp,ECS_HW.Alt,ECS_HW.Mach,ECS_HW.Pamb,ECS_HW.Tamb,ECS_HW.consumerFeed.h,ECS_HW.consumerFeed.p,ECS_HW.consumerRet.h,ECS_HW.consumerRet.p,ECS_HW.reqCoolingTemperature,ECS_HW.CPUtime,ECS_HW.EventCounter,ECS_HW.LHexTout,ECS_HW.consumerFeed.hn,ECS_HW.consumerFeed.m,ECS_HW.consumerRet.hn,ECS_HW.consumerRet.m,ECS_SW.Input.Aircraft_State,ECS_SW.Input.TLiquid,ECS_SW.TCoolingPack
530,531.0,4.0,310.6712382982813,2.498222,5.0,4.0,310.67123829831087,10000.0,1.2,2.49738,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118051.20693323133,-0.4337637230328821,127211.9721125692,0.4337595373918977,4000.0,2.496043,4.0,118051.21159910625,424928.2705200093,127234.7972475887,361698.37058360496,310.66477003673054,313.5216396206462,10000.0,1.2,26434.754590986628,223.15,118051.21159910625,424928.2705200093,127234.7972475887,361698.37058360496,93.0,2.49501,14.0,310.6712382982813,118051.20693323133,-0.4337637230328821,127211.9721125692,0.4337595373918977,4.0,310.67123829831087,93.0
531,532.0,4.0,310.6699328338331,2.500642,5.0,4.0,310.66993283386466,10000.0,1.2,2.4998,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118047.01922189414,-0.4337639226472861,127207.78319834148,0.4337597353305903,4000.0,2.498463,4.0,118047.02389596667,424929.2714104247,127230.60713218078,361699.0442655681,310.6634650339949,313.5203384039547,10000.0,1.2,26434.754590986628,223.15,118047.02389596667,424929.2714104247,127230.60713218078,361699.0442655681,93.0,2.49743,14.0,310.6699328338331,118047.01922189414,-0.4337639226472861,127207.78319834148,0.4337597353305903,4.0,310.66993283386466,93.0
532,533.0,4.0,310.66862705251555,2.503078,5.0,4.0,310.66862705254727,10000.0,1.2,2.502236,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118042.83050285684,-0.4337641218483827,127203.59356013835,0.433759935102484,4000.0,2.5009,4.0,118042.83519059044,424930.2726328227,127226.41601380412,361699.7180809164,310.66215971685165,313.5190368737403,10000.0,1.2,26434.754590986628,223.15,118042.83519059044,424930.2726328227,127226.41601380412,361699.7180809164,93.0,2.499868,14.0,310.66862705251555,118042.83050285684,-0.4337641218483827,127203.59356013835,0.433759935102484,4.0,310.66862705254727,93.0
533,534.0,4.0,310.66862705251555,2.505625,5.0,4.0,310.66732095363966,10000.0,1.2,2.504783,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118042.83050285684,-0.4337641218483827,127203.59356013835,0.433759935102484,4000.0,2.503447,4.0,118038.64546165768,424931.27388893865,127222.2238712614,361700.3916540709,310.6608540786554,313.5177350234187,10000.0,1.2,26434.754590986628,223.15,118042.83519059044,424930.2726328227,127226.41601380412,361699.7180809164,93.0,2.502414,14.0,310.6673209536076,118038.64077093617,-0.4337643212747538,127199.4029391172,0.4337601343559245,4.0,310.66732095363966,93.0
534,535.0,4.0,310.66601453544035,2.508304,5.0,4.0,310.6660145354723,10000.0,1.2,2.507462,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118034.45001954694,-0.4337645212422039,127195.21136201784,0.4337603326782354,4000.0,2.506127,4.0,118034.45471235045,424932.2752135926,127218.03070658838,361701.06526248215,310.65954812039627,313.51643285362064,10000.0,1.2,26434.754590986628,223.15,118034.45471235045,424932.2752135926,127218.03070658838,361701.06526248215,93.0,2.505097,14.0,310.66601453544035,118034.45001954694,-0.4337645212422039,127195.21136201784,0.4337603326782354,4.0,310.6660145354723,93.0
535,536.0,4.0,310.66470779770566,2.510857,5.0,4.0,310.6647077977377,10000.0,1.2,2.510015,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118030.25824849732,-0.4337647218018835,127191.01866981336,0.433760530173542,4000.0,2.508678,4.0,118030.26294153402,424933.2769246259,127213.83651982204,361701.7392796989,310.6582418417191,313.5151303643561,10000.0,1.2,26434.754590986628,223.15,118030.26294153402,424933.2769246259,127213.83651982204,361701.7392796989,93.0,2.507645,14.0,310.66470779770566,118030.25824849732,-0.4337647218018835,127191.01866981336,0.433760530173542,4.0,310.6647077977377,93.0
536,537.0,4.0,310.663400739728,2.513204,5.0,4.0,310.66340073976005,10000.0,1.2,2.512363,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118026.0654559978,-0.4337649216202527,127186.82496300207,0.433760728808538,4000.0,2.511028,4.0,118026.07014907215,424934.2793684162,127209.6413117948,361702.4140033635,310.6569352425798,313.513827555882,10000.0,1.2,26434.754590986628,223.15,118026.07014907215,424934.2793684162,127209.6413117948,361702.4140033635,93.0,2.509999,14.0,310.663400739728,118026.0654559978,-0.4337649216202527,127186.82496300207,0.433760728808538,4.0,310.66340073976005,93.0
537,538.0,4.0,310.6620933612497,2.515852,5.0,4.0,310.66209336128173,10000.0,1.2,2.51501,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118021.87164149962,-0.4337651206202521,127182.6302259114,0.4337609287765198,4000.0,2.513674,4.0,118021.87633491991,424935.2820225651,127205.44508109374,361703.08873919287,310.6556283229629,313.5125244277581,10000.0,1.2,26434.754590986628,223.15,118021.87633491991,424935.2820225651,127205.44508109374,361703.08873919287,93.0,2.512641,14.0,310.6620933612497,118021.87164149962,-0.4337651206202521,127182.6302259114,0.4337609287765198,4.0,310.66209336128173,93.0
538,539.0,4.0,310.6607856620097,2.51881,5.0,4.0,310.66078566204175,10000.0,1.2,2.517968,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118017.67680374504,-0.4337653200184778,127178.434468445,0.4337611283576276,4000.0,2.516633,4.0,118017.68149768436,424936.2845168143,127201.24782507964,361703.7631555056,310.6543210824328,313.5112209791633,10000.0,1.2,26434.754590986628,223.15,118017.68149768436,424936.2845168143,127201.24782507964,361703.7631555056,93.0,2.515604,14.0,310.6607856620097,118017.67680374504,-0.4337653200184778,127178.434468445,0.4337611283576276,4.0,310.66078566204175,93.0
539,540.0,4.0,310.65947764219663,2.521172,5.0,4.0,310.6594776422287,10000.0,1.2,2.52033,4.0,26434.754590986628,223.15,10000.0,1.2,26434.754590986628,223.15,118013.48094299344,-0.4337655203652997,127174.23768846948,0.4337613267204326,4000.0,2.518994,4.0,118013.48563676592,424937.2869990924,127197.04954303792,361704.4374987737,310.6530135208011,313.509917209874,10000.0,1.2,26434.754590986628,223.15,118013.48563676592,424937.2869990924,127197.04954303792,361704.4374987737,93.0,2.517962,14.0,310.65947764219663,118013.48094299344,-0.4337655203652997,127174.23768846948,0.4337613267204326,4.0,310.6594776422287,93.0
