,time,AdaptionUnit.Aircraft_State,AdaptionUnit.LHexTout,AdaptionUnit.CPUtime,AdaptionUnit.EventCounter,AdaptionUnit.sWsignals.Aircraft_State,AdaptionUnit.sWsignals.TLiquid,Atmos.Alt,Atmos.Ma,Atmos.CPUtime,Atmos.EventCounter,Atmos.Pamb,Atmos.Tamb,Consumer.Alt,Consumer.Mach,Consumer.Pamb,Consumer.Tamb,Consumer.consumerFeed.hn,Consumer.consumerFeed.m,Consumer.consumerRet.hn,Consumer.consumerRet.m,Consumer.heatLoad,Consumer.CPUtime,Consumer.EventCounter,Consumer.consumerFeed.h,Consumer.consumerFeed.p,Consumer.consumerRet.h,Consumer.consumerRet.p,Consumer.inletTemp,Consumer.outletTemp,ECS_HW.Alt,ECS_HW.Mach,ECS_HW.Pamb,ECS_HW.Tamb,ECS_HW.consumerFeed.h,ECS_HW.consumerFeed.p,ECS_HW.consumerRet.h,ECS_HW.consumerRet.p,ECS_HW.reqCoolingTemperature,ECS_HW.CPUtime,ECS_HW.EventCounter,ECS_HW.LHexTout,ECS_HW.consumerFeed.hn,ECS_HW.consumerFeed.m,ECS_HW.consumerRet.hn,ECS_HW.consumerRet.m,ECS_SW.Input.Aircraft_State,ECS_SW.Input.TLiquid,ECS_SW.TCoolingPack
20,21.2,0.0,296.285416528,0.512986,3,0,296.285416528,703.333333333,0.0844,0.512641,3,93155.8126611,283.578333333,703.333333333,0.0844,93155.8126611,283.578333333,71658.1024381,-0.363235221997,70624.3159111,0.357935139157,50.0,0.512291,4,71658.1024383,571853.320345,71378.5913495,523743.592253,296.076630512,295.987928292,703.333333333,0.0844,93155.8126611,283.578333333,71625.3937773,571742.787969,71343.8431837,523641.946859,513.0,0.513242,7,296.29619528,71690.8590698,-0.3632053613,70658.6494253,0.35805083815,0,296.285416528,513.0
21,22.2,0.0,296.393357801,0.534897,3,0,296.393357801,736.666666667,0.0884,0.534551,3,92782.3161795,283.361666667,736.666666667,0.0884,92782.3161795,283.361666667,71988.0172723,-0.362966869108,70968.9129928,0.358996574629,50.0,0.534201,4,71988.0172722,572804.112617,71726.2371955,524621.37764,296.181315472,296.09825142,736.666666667,0.0884,92782.3161795,283.361666667,71954.8168379,572720.979942,71691.4228226,524544.805712,513.0,0.535174,7,296.40416236,72021.2562486,-0.362943031782,71003.431451,0.359092177137,0,296.393357801,513.0
22,23.2,0.0,296.501363904,0.557669,3,0,296.501363904,770.0,0.0924,0.557323,3,92410.0332063,283.145,770.0,0.0924,92410.0332063,283.145,72321.8410225,-0.362749354872,71316.0083586,0.35988218558,50.0,0.556973,4,72321.8408858,573505.45938,72074.7223669,525265.314562,296.287226649,296.208825488,770.0,0.0924,92410.0332063,283.145,72288.3359657,573444.939388,72039.8944579,525209.412676,513.0,0.557919,7,296.512151815,72355.3659986,-0.362730042875,71350.7814002,0.359962203425,0,296.501363904,513.0
23,24.2,0.0,296.60902694,0.588047,3,0,296.60902694,803.333333333,0.0964,0.587702,3,92038.960723,282.928333333,803.333333333,0.0964,92038.960723,282.928333333,72657.7524053,-0.362572231819,71664.5449632,0.360624309662,50.0,0.587352,4,72657.7524053,573999.142373,72422.8702594,525715.410478,296.393785965,296.319277134,803.333333333,0.0964,92038.960723,282.928333333,72624.1135475,573958.181201,72388.1067118,525678.143715,513.0,0.588269,7,296.619760185,72691.3965428,-0.36255655749,71699.3057424,0.360691269808,0,296.60902694,513.0
24,25.2,0.0,296.71598156,0.615205,3,0,296.71598156,836.666666667,0.1004,0.614859,3,91669.095716,282.711666667,836.666666667,0.1004,91669.095716,282.711666667,72994.188092,-0.362428589823,72012.0315834,0.361245715524,50.0,0.61451,4,72994.1881729,574321.637294,72769.5641962,526006.110645,296.500497231,296.429252212,836.666666667,0.1004,91669.095716,282.711666667,72960.5621208,574296.127818,72734.9925619,525983.291923,513.0,0.615434,7,296.72662558,73027.8058898,-0.362415833449,72046.8269107,0.36130214011,0,296.71598156,513.0
25,26.2,0.0,296.822089308,0.638838,3,0,296.822089308,870.0,0.1044,0.638493,3,91300.435177,282.495,870.0,0.1044,91300.435177,282.495,73329.8524667,-0.362313981723,72358.6800202,0.361766317448,50.0,0.638144,4,73329.8524685,574500.237909,73114.140983,526161.459405,296.60694949,296.538540593,870.0,0.1044,91300.435177,282.495,73296.3422261,574488.212668,73079.7811334,526151.529545,513.0,0.639034,7,296.832671885,73363.3493018,-0.362303717877,72393.1708671,0.361813846074,0,296.822089308,513.0
26,27.2,0.0,296.927870797,0.658916,3,0,296.927870797,903.333333333,0.1084,0.658571,3,90932.9761031,282.278333333,903.333333333,0.1084,90932.9761031,282.278333333,73664.3188997,-0.362224662536,72701.8172887,0.362202499772,50.0,0.658221,4,73664.3188997,574559.849659,73456.3785271,526205.18046,296.713007649,296.647072137,903.333333333,0.1084,90932.9761031,282.278333333,73630.9153115,574558.730036,73422.2375633,526205.349846,513.0,0.658978,7,296.938456475,73697.7159524,-0.36221700498,72736.080302,0.362242012438,0,296.927870797,513.0
27,28.2,0.0,297.033984517,0.678142,3,0,297.033984517,936.666666667,0.1124,0.677797,3,90566.7154962,282.061666667,936.666666667,0.1124,90566.7154962,282.061666667,73998.1823849,-0.362155873678,73044.6931067,0.362569408822,50.0,0.677447,4,73998.1817247,574521.685825,73796.8663812,526157.650584,296.818860267,296.755034078,936.666666667,0.1124,90566.7154962,282.061666667,73964.7923317,574529.411509,73762.8593492,526166.108559,513.0,0.678354,7,297.044638561,74031.5781178,-0.362150153843,73078.8106191,0.362602585837,0,297.033984517,513.0
28,29.2,0.0,297.141055356,0.694941,3,0,297.141055356,970.0,0.1164,0.694596,3,90201.6503638,281.845,970.0,0.1164,90201.6503638,281.845,74332.632471,-0.362104954479,73386.403175,0.362877991495,50.0,0.694247,4,74332.6325079,574401.691661,74136.8314447,526033.194584,296.924885142,296.862815596,970.0,0.1164,90201.6503638,281.845,74299.1203676,574416.697123,74102.8444196,526048.414272,513.0,0.69518,7,297.15183739,74366.1649635,-0.362100497434,73420.8103253,0.362906078485,0,297.141055356,513.0
29,30.2,0.0,297.249668802,0.710821,3,0,297.249668802,1003.33333333,0.1204,0.710475,3,89837.7777182,281.628333333,1003.33333333,0.1204,89837.7777182,281.628333333,74669.1552777,-0.362068346778,73727.7473913,0.363139325289,50.0,0.710125,4,74669.1552775,574214.695871,74477.7117238,525845.978039,297.031552565,296.970872573,1003.33333333,0.1204,89837.7777182,281.628333333,74635.3633056,574236.000298,74443.5500946,525867.135443,513.0,0.711097,7,297.260636541,74702.9827006,-0.362065086601,73762.1024616,0.36316329503,0,297.249668802,513.0
